18,26,10
46107,11,2,1
54122,0,18,9
90327,13,10,1
54751,9,25,8
61492,4,6,5
69901,12,14,3
88878,1,0,0
72745,2,2,6
41840,3,1,5
28520,8,6,9
67627,5,10,6
78981,11,5,2
55299,6,2,1
81329,11,10,8
68162,10,10,4
92088,17,21,1
83670,9,25,4
58764,0,11,2
42519,4,3,6
51879,5,17,4
15256,13,8,7
61863,13,13,2
56332,2,7,4
21538,5,20,4
28414,4,3,7
50071,9,14,1
47714,16,20,6
54815,13,5,0
82651,14,3,2
65198,1,9,0
70594,9,21,7
31846,8,9,3
54219,16,18,7
48286,14,10,1
24670,1,5,9
40176,10,5,8
91771,3,15,7
50010,4,18,7
61791,16,17,0
92794,2,17,2
20141,11,25,7
19350,11,11,1
94922,13,16,6
39364,14,9,2
20940,16,23,5
79294,15,11,2
12138,3,12,6
69117,6,10,3
76306,5,25,5
66502,6,18,0
58629,7,17,6
55601,6,24,1
44638,5,24,3
49779,10,17,1
84335,12,20,4
86362,0,2,8
47753,0,1,5
11123,8,11,9
27770,0,19,6
16133,1,0,6
47594,4,7,9
17473,4,8,3
63039,7,20,2
99538,3,9,5
54060,0,8,4
92873,15,0,1
42329,4,18,2
56444,14,6,0
30075,8,4,4
92484,6,4,4
42096,5,15,6
69843,6,5,5
42026,9,7,4
86500,15,21,6
83642,0,14,7
52334,4,9,2
42887,2,22,5
53824,8,6,9
13661,3,11,4
71713,5,13,5
19092,7,20,1
18951,3,6,3
48530,1,19,4
56653,5,0,4
87166,9,14,1
34428,9,7,0
61177,17,21,5
33722,7,8,0
64328,16,4,7
37406,0,19,6
32087,1,23,4
74157,16,24,5
82660,5,8,6
80312,10,16,2
74469,17,25,1
98145,10,5,3
90467,10,3,8
43223,12,10,9
23866,15,22,7
40576,8,17,4
59723,4,23,5
33183,14,1,8
62308,1,9,6
53119,4,7,8
61074,14,25,4
27301,15,9,1
85017,8,3,8
37075,3,9,1
31598,3,8,8
55405,16,17,0
47018,7,25,5
80932,1,0,5
33748,16,3,1
97180,12,0,7
40998,16,17,9
93455,17,0,8
48135,17,11,8
82111,6,18,8
78531,4,19,6
87287,15,2,9
11460,10,11,9
25389,0,23,2
61746,5,24,4
40933,16,1,8
10102,11,21,7
60515,1,2,2
44783,0,3,9
87172,15,3,4
48318,5,2,4
25939,6,19,6
52637,8,4,7
44289,11,6,3
86531,5,17,7
25268,5,25,5
81901,11,22,4
12929,15,15,9
37066,14,4,4
51131,8,12,0
34997,2,9,9
85886,17,21,6
72696,5,3,9
53977,10,21,9
30142,5,19,6
33508,2,23,7
24985,15,15,6
62927,5,5,4
57890,11,9,3
15439,12,21,0
73216,12,25,9
81097,11,0,0
82249,6,6,7
93672,16,12,0
89424,8,1,7
87372,12,6,7
69283,8,20,5
23618,2,13,6
79276,2,10,7
30376,0,12,9
61186,4,10,9
64207,4,10,9
65544,1,25,9
68626,15,16,1
28257,10,6,7
10487,1,14,8
90352,9,16,8
77731,16,21,8
90178,5,16,8
73773,8,17,0
73787,7,25,8
77059,11,16,0
55060,13,24,0
54566,17,0,5
37832,1,12,0
62907,12,8,0
51586,4,18,5
50962,8,24,0
34684,15,8,1
24595,17,3,3
55504,14,21,5
72552,13,10,0
43016,1,3,6
57011,3,3,3
64574,15,23,2
10613,8,17,9
64953,4,19,9
30510,8,14,0
68115,17,3,9
70997,1,12,0
90135,9,25,7
11200,6,13,0
63122,13,8,2
73758,0,1,9
73067,0,0,5
35272,17,19,6
28118,16,16,8
57719,15,8,2
23468,7,18,2
91943,16,13,7
26270,12,22,5
62202,6,20,2
90101,9,0,4
91724,6,7,8
66721,8,14,6
92701,17,5,1
39572,17,20,0
51754,5,8,0
26869,0,6,0
41406,16,11,6
46043,13,4,7
56877,12,4,5
84847,2,10,4
94101,4,24,4
96123,5,9,2
73023,14,20,9
97202,6,5,9
22040,2,1,8
67201,2,24,5
87045,15,23,0
48743,4,0,2
39729,0,15,2
51547,8,16,5
98457,4,16,5
73096,9,16,2
51622,6,1,3
73065,2,20,7
93207,2,8,3
29990,8,22,1
57175,1,0,2
12306,2,21,0
38275,16,23,0
31014,14,11,8
15917,17,18,4
57465,15,15,9
23252,15,6,6
45283,12,20,6
87291,11,22,2
84328,4,1,8
88715,14,9,2
27930,16,23,5
49921,11,0,0
38192,3,14,3
84259,10,9,2
84175,8,15,5
63312,8,20,7
99881,0,21,2
66408,4,11,5
10595,6,21,3
86361,14,4,9
44219,15,4,6
12723,4,11,1
58440,12,2,8
99029,6,25,7
92868,15,25,2
47015,6,25,6
57369,2,22,6
87792,17,12,7
15838,17,7,2
81237,15,20,1
86149,9,9,8
42659,14,2,2
27491,13,11,4
62864,4,1,0
28085,12,6,0
92947,1,1,4
44428,13,15,9
88526,15,5,7
82727,7,19,6
44261,13,9,2
38768,3,4,6
84569,1,17,5
73562,1,9,4
65626,1,9,8
30046,0,1,2
99965,2,16,3
51988,9,12,1
71868,12,19,4
15528,0,7,6
39841,12,22,5
24938,11,10,0
49921,6,15,8
38693,3,21,3
72906,16,24,0
49426,15,24,1
74342,12,2,4
29816,3,22,7
87633,8,7,5
87198,0,9,1
52665,5,10,7
88666,4,25,1
69504,11,7,0
12023,7,12,7
54089,11,7,4
44621,6,20,1
14026,0,10,6
46033,1,23,3
74355,2,18,0
47826,8,19,2
58897,11,3,8
72359,10,7,8
59783,0,9,8
23973,12,8,5
29915,15,15,6
99907,3,14,4
25483,3,19,0
16149,11,18,3
60149,13,22,5
10433,3,10,9
47661,8,22,8
73849,9,7,3
93675,7,22,1
77644,4,1,1
64127,16,20,8
65811,16,15,6
62041,2,10,7
11494,13,19,4
47747,11,22,0
76731,9,21,0
18521,10,17,3
83059,0,1,7
48722,13,16,0
10688,0,20,8
23315,9,19,1
84850,9,23,5
83407,16,16,2
98744,8,11,8
26812,10,10,0
52606,9,15,9
50863,14,3,7
87009,0,3,0
35111,8,9,1
29801,13,2,9
59036,11,13,7
44826,14,17,5
51512,5,13,6
25471,9,16,0
88564,7,25,7
41544,11,17,2
28390,15,21,1
69946,15,19,8
84882,5,10,8
83771,14,7,9
34618,1,16,8
74167,5,1,9
83384,1,23,0
68912,13,24,6
43991,6,2,6
87385,3,17,0
37202,15,6,6
97570,7,11,7
