18,26,10
10102,11,21,7
10487,1,14,8
10613,8,17,9
11123,8,11,9
11200,6,13,0
11460,10,11,9
12138,3,12,6
12929,15,15,9
13661,3,11,4
15256,13,8,7
15439,12,21,0
16133,1,0,6
17473,4,8,3
18951,3,6,3
19092,7,20,1
19350,11,11,1
20141,11,25,7
20940,16,23,5
21538,5,20,4
23618,2,13,6
23866,15,22,7
24595,17,3,3
24670,1,5,9
24985,15,15,6
25268,5,25,5
25389,0,23,2
25939,6,19,6
27301,15,9,1
27770,0,19,6
28118,16,16,8
28257,10,6,7
28414,4,3,7
28520,8,6,9
30075,8,4,4
30142,5,19,6
30376,0,12,9
30510,8,14,0
31598,3,8,8
31846,8,9,3
32087,1,23,4
33183,14,1,8
33508,2,23,7
33722,7,8,0
33748,16,3,1
34428,9,7,0
34684,15,8,1
34997,2,9,9
35272,17,19,6
37066,14,4,4
37075,3,9,1
37406,0,19,6
37832,1,12,0
39364,14,9,2
40176,10,5,8
40576,8,17,4
40933,16,1,8
40998,16,17,9
41840,3,1,5
42026,9,7,4
42096,5,15,6
42329,4,18,2
42519,4,3,6
42887,2,22,5
43016,1,3,6
43223,12,10,9
44289,11,6,3
44638,5,24,3
44783,0,3,9
46107,11,2,1
47018,7,25,5
47594,4,7,9
47714,16,20,6
47753,0,1,5
48135,17,11,8
48286,14,10,1
48318,5,2,4
48530,1,19,4
49779,10,17,1
50010,4,18,7
50071,9,14,1
50962,8,24,0
51131,8,12,0
51586,4,18,5
51879,5,17,4
52334,4,9,2
52637,8,4,7
53119,4,7,8
53824,8,6,9
53977,10,21,9
54060,0,8,4
54122,0,18,9
54219,16,18,7
54566,17,0,5
54751,9,25,8
54815,13,5,0
55060,13,24,0
55299,6,2,1
55405,16,17,0
55504,14,21,5
55601,6,24,1
56332,2,7,4
56444,14,6,0
56653,5,0,4
57011,3,3,3
57719,15,8,2
57890,11,9,3
58629,7,17,6
58764,0,11,2
59723,4,23,5
60515,1,2,2
61074,14,25,4
61177,17,21,5
61186,4,10,9
61492,4,6,5
61746,5,24,4
61791,16,17,0
61863,13,13,2
62308,1,9,6
62907,12,8,0
62927,5,5,4
63039,7,20,2
63122,13,8,2
64207,4,10,9
64328,16,4,7
64574,15,23,2
64953,4,19,9
65198,1,9,0
65544,1,25,9
66502,6,18,0
67627,5,10,6
68115,17,3,9
68162,10,10,4
68626,15,16,1
69117,6,10,3
69283,8,20,5
69843,6,5,5
69901,12,14,3
70594,9,21,7
70997,1,12,0
71713,5,13,5
72552,13,10,0
72696,5,3,9
72745,2,2,6
73067,0,0,5
73216,12,25,9
73758,0,1,9
73773,8,17,0
73787,7,25,8
74157,16,24,5
74469,17,25,1
76306,5,25,5
77059,11,16,0
77731,16,21,8
78531,4,19,6
78981,11,5,2
79276,2,10,7
79294,15,11,2
80312,10,16,2
80932,1,0,5
81097,11,0,0
81329,11,10,8
81901,11,22,4
82111,6,18,8
82249,6,6,7
82651,14,3,2
82660,5,8,6
83642,0,14,7
83670,9,25,4
84335,12,20,4
85017,8,3,8
85886,17,21,6
86362,0,2,8
86500,15,21,6
86531,5,17,7
87166,9,14,1
87172,15,3,4
87287,15,2,9
87372,12,6,7
88878,1,0,0
89424,8,1,7
90135,9,25,7
90178,5,16,8
90327,13,10,1
90352,9,16,8
90467,10,3,8
91771,3,15,7
92088,17,21,1
92484,6,4,4
92794,2,17,2
92873,15,0,1
93455,17,0,8
93672,16,12,0
94922,13,16,6
97180,12,0,7
98145,10,5,3
99538,3,9,5
198620709,0,0,0
456789423,0,0,0
633494223,0,0,0
748163149,0,0,0
